left_x,left_y,right_x,right_y
-101.50052642822266,66.88270568847656,-120.7064437866211,21.111183166503903
-101.37078857421876,67.82084655761719,-120.55038452148438,22.22028350830078
-101.24187469482422,68.75800323486328,-120.39432525634766,23.327482223510746
-101.11380767822266,69.69361114501953,-120.2382583618164,24.432785034179688
-100.98609924316406,70.62760162353516,-120.08216094970705,25.53618812561035
-100.858154296875,71.55989837646484,-119.926025390625,26.6376895904541
-100.7301788330078,72.49054718017578,-119.76983642578124,27.73727798461914
-100.60224151611328,73.41954040527344,-119.61366271972656,28.834941864013672
-100.4743194580078,74.34689331054688,-119.45748138427734,29.93067741394043
-100.34640502929688,75.2726058959961,-119.30146026611328,31.02450180053711
-100.21851348876952,76.19668579101562,-119.14601135253906,32.11648178100586
-100.09062957763672,77.11913299560547,-118.99119567871094,33.20662307739258
-99.96276092529295,78.03996276855469,-118.83700561523438,34.29493713378906
-99.83490753173828,78.95915222167969,-118.6834716796875,35.38142776489258
-99.70706939697266,79.8767318725586,-118.53059387207033,36.466102600097656
-99.5792465209961,80.79267883300781,-118.37834930419922,37.54895782470703
-99.45144653320312,81.70701599121094,-118.2267074584961,38.62999725341797
-99.32366180419922,82.6197280883789,-118.0758056640625,39.7092399597168
-99.19590759277344,83.53083801269531,-117.92627716064452,40.78677368164063
-99.06819152832033,84.4403305053711,-117.77837371826172,41.86263275146485
-98.94065856933594,85.34823608398438,-117.63201904296876,42.93681335449219
-98.81343841552734,86.25457763671875,-117.4871826171875,44.00931167602539
-98.68649291992188,87.15934753417969,-117.34386444091795,45.08013153076172
-98.55970001220705,88.06253051757812,-117.20205688476562,46.14925765991211
-98.43289947509766,88.96411895751953,-117.06108856201172,47.21660232543945
-98.3061294555664,89.8641128540039,-116.9198989868164,48.28203201293945
-98.1793975830078,90.76251983642578,-116.77864074707033,49.34556579589844
-98.05270385742188,91.65933227539062,-116.63737487792967,50.4072151184082
-97.92605590820312,92.55455780029295,-116.49609375,51.466983795166016
-97.79945373535156,93.4481964111328,-116.3546371459961,52.52485656738281
-97.67288970947266,94.34025573730467,-116.21158599853516,53.58064270019531
-97.54637145996094,95.23072814941406,-116.0657958984375,54.63418960571289
-97.41989135742188,96.11961364746094,-115.91854095458984,55.685672760009766
-97.2934799194336,97.00691986083984,-115.7710952758789,56.73527145385742
-97.16734313964844,97.89268493652344,-115.6233901977539,57.78297424316406
-97.0418472290039,98.7769775390625,-115.4755630493164,58.82880783081055
-96.9169464111328,99.65980529785156,-115.3276596069336,59.872779846191406
-96.79257202148438,100.5411148071289,-115.1797103881836,60.9149055480957
-96.66867065429688,101.4208984375,-115.0317611694336,61.9552001953125
-96.54485321044922,102.29927825927734,-114.8838348388672,62.99367141723633
-96.42061614990234,103.17839050292967,-114.73593139648438,64.03032684326172
-96.29556274414062,104.06183624267578,-114.5880355834961,65.06517028808594
-96.16922760009766,104.95323181152344,-114.44014739990234,66.09819793701172
-96.04116821289062,105.85587310791016,-114.29215240478516,67.13025665283203
-95.91178894042967,106.76734161376952,-114.14364624023438,68.16411590576172
-95.78179168701172,107.6825180053711,-113.99462127685548,69.20012664794922
-95.65148162841795,108.59893035888672,-113.84554290771484,70.23529052734375
-95.52096557617188,109.51478576660156,-113.69654846191406,71.26864624023438
-95.38931274414062,110.42887878417967,-113.54776000976562,72.30022430419922
-95.25714111328124,111.34127044677734,-113.39936065673828,73.3300552368164
-95.1253433227539,112.2520751953125,-113.25149536132812,74.358154296875
-94.99366760253906,113.16127014160156,-113.10416412353516,75.38452911376953
-94.86223602294922,114.06885528564452,-112.95735931396484,76.4092025756836
-94.7311553955078,114.974853515625,-112.81102752685548,77.43215942382812
-94.60040283203124,115.87926483154295,-112.66515350341795,78.45340728759766
-94.46997833251952,116.7820816040039,-112.51973724365234,79.47294616699219
-94.33995056152344,117.6833267211914,-112.37476348876952,80.49078369140625
-94.21036529541016,118.5830078125,-112.22994232177734,81.50686645507812
-94.0811996459961,119.48111724853516,-112.08509063720705,82.52118682861328
-93.95245361328124,120.37765502929688,-111.94026184082033,83.53374481201172
-93.82411193847656,121.27262115478516,-111.79547119140624,84.54454803466797
-93.69618225097656,122.16603088378906,-111.65072631835938,85.55359649658203
-93.5686492919922,123.05795288085938,-111.50602722167967,86.5608901977539
-93.44137573242188,123.94906616210938,-111.3613739013672,87.56644439697266
-93.31401824951172,124.8390884399414,-111.21676635742188,88.57024383544922
-93.18663787841795,125.72748565673828,-111.07220458984376,89.57230377197266
-93.05929565429688,126.61427307128906,-110.92766571044922,90.57262420654295
-92.9320068359375,127.49945831298828,-110.78314971923828,91.57120513916016
-92.80477142333984,128.38302612304688,-110.638671875,92.56805419921876
-92.6775894165039,129.26499938964844,-110.49424743652344,93.56317138671876
-92.5504379272461,130.14537048339844,-110.34989166259766,94.55657196044922
-92.4232940673828,131.02410888671875,-110.20562744140624,95.54826354980467
-92.29621887207033,131.9011993408203,-110.0617446899414,96.53827667236328
-92.16924285888672,132.77662658691406,-109.91891479492188,97.52672576904295
-92.0423355102539,133.6503448486328,-109.77711486816406,98.51360321044922
-91.9157485961914,134.5223846435547,-109.6362533569336,99.49889373779295
-91.7895278930664,135.39276123046875,-109.49632263183594,100.48259735107422
-91.66365814208984,136.26148986816406,-109.35740661621094,101.46473693847656
-91.53807067871094,137.1287841796875,-109.21978759765624,102.44534301757812
-91.41239166259766,137.9970703125,-109.0834732055664,103.42439270019533
-91.2862548828125,138.8692169189453,-108.94842529296876,104.40186309814452
-91.16022491455078,139.74234008789062,-108.81460571289062,105.37776184082033
-91.0347137451172,140.61395263671875,-108.68204498291016,106.3520736694336
-90.9100570678711,141.4839630126953,-108.55072784423828,107.32482147216795
-90.78780364990234,142.35260009765625,-108.42048645019533,108.29596710205078
-90.66817474365234,143.21987915039062,-108.29020690917967,109.26537322998048
-90.54866790771484,144.08544921875,-108.1597671508789,110.23302459716795
-90.42911529541016,144.9492950439453,-108.0293197631836,111.19894409179688
-90.3099136352539,145.8114471435547,-107.8989028930664,112.16314697265624
-90.19110870361328,146.67190551757812,-107.76852416992188,113.12562561035156
-90.0724868774414,147.53067016601562,-107.63814544677734,114.08641052246094
-89.95378875732422,148.38768005371094,-107.50778198242188,115.0455093383789
-89.83512115478516,149.24295043945312,-107.37745666503906,116.0029296875
-89.71650695800781,150.09652709960938,-107.24714660644533,116.95867919921876
-89.59796142578125,150.9483642578125,-107.1168441772461,117.91275024414062
-89.47947692871094,151.7985076904297,-106.98639678955078,118.86627197265624
-89.36105346679688,152.6469268798828,-106.85535430908205,119.8226089477539
-89.24268341064453,153.49363708496094,-106.72323608398438,120.7853775024414
-89.12432098388672,154.33863830566406,-106.5895767211914,121.7581787109375
-89.00597381591797,155.18191528320312,-106.45389556884766,122.7446060180664
-88.88765716552734,156.02349853515625,-106.31575775146484,123.7481460571289
-88.7693862915039,156.86337280273438,-106.17469787597656,124.77239227294922
-88.65121459960938,157.70155334472656,-106.03024291992188,125.82086181640624
-88.53312683105469,158.5380401611328,-105.8826904296875,126.89234924316406
-88.4151382446289,159.3728485107422,-105.73333740234376,127.97908782958984
-88.29718780517578,160.2059783935547,-105.58304595947266,129.07606506347656
-88.17893981933594,161.0373992919922,-105.43155670166016,130.18499755859375
-88.06063842773438,161.86712646484375,-105.27848052978516,131.30711364746094
-87.94264221191406,162.69525146484375,-105.12413024902344,132.43798828125
-87.824951171875,163.52175903320312,-104.96836853027344,133.57826232910156
-87.7075424194336,164.34664916992188,-104.8107681274414,134.7313690185547
